,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
LCE2A_cnv,0.00071541406,0.00038558198,-0.0070915055,0.0027560461,0.0042792307,-0.005107592,-0.0125219375,0.013414955
LCE4A_cnv,0.0007154122,0.00038557802,-0.0070915036,0.0027560438,0.004279229,-0.005107594,-0.012521936,0.013414951
KPRP_cnv,0.0007103607,0.0004036026,-0.0071044303,0.0027431664,0.004301031,-0.005126712,-0.012582034,0.013451035
LCE1F_cnv,0.0007100897,0.00040460075,-0.007105138,0.0027424707,0.004302227,-0.005127752,-0.012585318,0.013453014
LCE1C_cnv,0.0007100897,0.00040460075,-0.007105138,0.0027424707,0.004302227,-0.005127752,-0.012585318,0.013453014
LCE1D_cnv,0.00071035884,0.00040359749,-0.0071044303,0.0027431687,0.0043010367,-0.005126708,-0.012582041,0.013451036
LCE1E_cnv,0.0007100897,0.00040460075,-0.007105138,0.0027424707,0.004302227,-0.005127752,-0.012585318,0.013453014
LCE1B_cnv,0.0007102061,0.0004041274,-0.0071048085,0.0027427934,0.004301672,-0.005127273,-0.012583824,0.013452095
LCE1A_cnv,0.00070974976,0.00040581776,-0.007106008,0.002741604,0.00430368,-0.005129046,-0.012589365,0.013455434
LCE6A_cnv,0.00070974976,0.00040581776,-0.007106008,0.002741604,0.00430368,-0.005129046,-0.012589365,0.013455434
SMCP_cnv,0.00071463734,0.00038847048,-0.0070935264,0.0027539893,0.004282644,-0.0051106047,-0.012531435,0.013420697
IVL_cnv,0.0007300023,0.00033366005,-0.0070540886,0.0027930439,0.0042161355,-0.0050524627,-0.012348842,0.013311058
SPRR4_cnv,0.0007352233,0.00031508761,-0.0070407167,0.0028062854,0.0041935584,-0.005032747,-0.012286942,0.013273899
SPRR1A_cnv,0.00073298626,0.00032302318,-0.007046433,0.0028006309,0.004203231,-0.0050411727,-0.012313403,0.0132897915
SPRR3_cnv,0.0007351246,0.0003154194,-0.007040955,0.0028060474,0.004193956,-0.0050331056,-0.0122880675,0.013274572
SPRR1B_cnv,0.0007343311,0.00031824713,-0.007042989,0.002804032,0.004197399,-0.005036107,-0.012297498,0.0132802315
